dog_id,concrete,wood,other_hard,grass_dirt,gravel,sand,astroturf
87212,False,False,False,True,True,False,False
13473,False,True,True,True,False,False,False
82476,True,False,False,True,False,False,False
4625,True,False,False,True,True,True,False
87176,True,False,True,True,False,True,False
24615,False,True,True,True,False,False,False
83971,True,False,False,True,True,False,False
84514,False,False,True,True,False,False,False
99844,False,False,True,True,False,False,False
95239,True,False,True,True,False,False,False
23613,False,False,False,True,False,False,False
24999,False,False,False,True,False,False,False
28680,False,False,False,True,False,False,False
88311,False,True,False,True,False,False,False
42260,True,True,True,True,True,False,False
36831,True,False,True,True,False,False,False
72592,True,True,False,True,False,False,False
102506,False,False,False,True,False,False,False
100426,True,False,False,True,False,False,False
30763,True,False,True,True,False,False,False
75217,True,False,False,True,False,False,False
74110,False,False,True,True,False,False,False
7463,True,False,True,True,True,False,False
28972,True,False,True,True,False,True,True
51415,True,False,True,False,False,False,False
70568,False,False,True,True,True,True,False
13353,False,True,False,True,False,False,False
57081,False,False,False,True,False,False,False
85954,False,False,True,True,False,False,False
92666,True,False,False,True,False,False,False
51758,False,False,False,True,False,False,False
98819,True,True,False,True,True,True,False
95532,True,False,False,True,True,False,False
61964,False,True,True,True,False,False,True
83410,False,False,True,True,False,False,False
70146,True,True,True,True,False,False,True
37264,True,False,True,True,False,False,False
91594,True,False,False,True,False,False,True
22330,True,False,True,True,False,False,False
48805,True,True,False,True,True,False,False
103199,True,False,True,True,False,False,False
95683,False,False,False,True,True,False,False
58077,True,True,True,True,False,False,False
9280,True,True,True,True,False,True,False
2381,False,True,False,True,True,False,False
15019,False,False,False,True,True,False,False
94953,False,False,True,True,False,False,False
42842,True,False,True,True,True,False,False
87328,True,True,True,True,True,False,False
34009,False,False,False,True,False,False,False
31014,True,True,True,True,True,False,False
32214,False,False,True,True,False,False,False
95231,False,True,False,True,False,False,False
60082,True,True,True,True,False,False,False
89538,True,False,False,True,False,False,False
53277,False,False,False,True,False,False,False
74311,False,False,False,True,False,False,False
5351,True,False,True,True,True,True,False
48556,True,False,True,True,False,False,False
15948,False,False,True,True,True,True,False
11690,True,True,False,True,False,False,False
54550,True,True,True,True,True,False,False
16086,True,False,True,True,True,False,False
79749,False,False,False,False,False,False,False
26537,True,False,True,True,True,False,False
29247,False,False,False,True,False,True,False
89294,False,False,False,False,False,False,False
31913,True,True,True,True,True,False,False
72992,True,False,True,True,False,True,False
34270,False,False,False,True,True,False,False
85513,True,True,True,True,False,False,False
22866,True,True,False,True,False,False,False
13779,False,True,False,True,False,False,False
41923,True,False,True,True,False,False,False
99659,True,False,False,True,False,False,False
3830,False,False,False,True,True,False,False
40472,False,False,True,True,False,False,False
36300,True,True,False,True,False,False,False
35114,True,True,True,True,True,False,False
913,True,False,False,True,False,False,False
51360,False,False,False,False,False,False,False
88861,True,False,True,True,True,False,False
