dog_id,pa_hot_weather_daily_hours_outside,pa_cold_weather_daily_hours_outside,pa_moderate_weather_daily_hours_outside
33611,1.0,1.0,2.0
88865,1.0,2.0,2.0
28326,1.0,1.0,1.0
84837,1.0,1.0,1.0
45586,1.0,1.0,1.0
63524,1.0,1.0,1.0
1674,1.0,1.0,1.0
78422,1.0,1.0,1.0
88063,2.0,5.0,2.0
75957,1.0,1.0,1.0
70406,1.0,1.0,2.0
98977,1.0,1.0,1.0
50744,1.0,1.0,1.0
24906,3.0,1.0,3.0
18599,5.0,1.0,2.0
37702,1.0,1.0,1.0
46838,2.0,1.0,2.0
48882,1.0,1.0,1.0
47561,5.0,1.0,1.0
68563,2.0,1.0,2.0
92476,5.0,1.0,1.0
23094,1.0,1.0,1.0
18062,1.0,5.0,1.0
59310,1.0,1.0,1.0
80874,1.0,1.0,2.0
14465,5.0,5.0,5.0
96168,1.0,1.0,2.0
85536,1.0,1.0,1.0
51041,1.0,1.0,1.0
96451,1.0,1.0,1.0
73526,1.0,1.0,1.0
18979,1.0,1.0,1.0
14183,1.0,1.0,1.0
27401,1.0,1.0,1.0
52867,1.0,1.0,1.0
85376,1.0,1.0,1.0
49785,1.0,1.0,1.0
438,2.0,1.0,2.0
10608,2.0,1.0,2.0
82574,1.0,1.0,1.0
76867,1.0,1.0,1.0
67387,1.0,1.0,1.0
2346,1.0,1.0,1.0
13049,1.0,1.0,1.0
56513,1.0,1.0,2.0
49326,1.0,1.0,1.0
41330,1.0,1.0,1.0
90779,1.0,2.0,2.0
61323,1.0,1.0,2.0
50323,5.0,5.0,5.0
59343,1.0,1.0,1.0
49864,1.0,1.0,1.0
36052,1.0,1.0,1.0
97524,5.0,5.0,1.0
95390,1.0,1.0,1.0
88011,1.0,1.0,1.0
13062,1.0,1.0,1.0
29534,1.0,1.0,2.0
94923,1.0,1.0,1.0
53900,1.0,1.0,2.0
37731,1.0,1.0,1.0
36936,1.0,1.0,1.0
27291,5.0,5.0,1.0
30363,1.0,1.0,1.0
18632,1.0,1.0,1.0
90300,1.0,1.0,2.0
78740,2.0,1.0,2.0
90488,1.0,1.0,1.0
66168,5.0,2.0,2.0
37435,1.0,2.0,2.0
97451,1.0,5.0,1.0
57641,1.0,1.0,2.0
9597,5.0,1.0,2.0
92843,1.0,1.0,2.0
88540,5.0,5.0,1.0
87428,1.0,1.0,1.0
37049,1.0,1.0,1.0
87212,1.0,1.0,1.0
13473,1.0,1.0,1.0
82476,1.0,1.0,1.0
4625,1.0,1.0,2.0
87176,1.0,1.0,1.0
24615,4.0,4.0,4.0
84514,1.0,1.0,2.0
99844,1.0,2.0,2.0
95239,1.0,2.0,2.0
24999,1.0,1.0,2.0
28680,1.0,1.0,2.0
88311,1.0,2.0,2.0
36831,2.0,1.0,2.0
72592,1.0,1.0,1.0
100426,1.0,1.0,1.0
30763,1.0,1.0,2.0
75217,1.0,1.0,2.0
74110,2.0,2.0,2.0
7463,1.0,2.0,2.0
70568,1.0,1.0,1.0
13353,1.0,1.0,1.0
57081,1.0,1.0,2.0
92666,1.0,1.0,1.0
51758,1.0,1.0,1.0
95532,1.0,1.0,2.0
61964,1.0,1.0,2.0
83410,1.0,1.0,1.0
70146,1.0,1.0,1.0
37264,1.0,2.0,2.0
91594,1.0,1.0,1.0
22330,1.0,1.0,1.0
48805,2.0,1.0,1.0
103199,1.0,2.0,2.0
95683,1.0,1.0,1.0
58077,1.0,2.0,2.0
2381,2.0,5.0,2.0
15019,1.0,1.0,1.0
94953,1.0,1.0,1.0
87328,1.0,1.0,1.0
31014,5.0,5.0,1.0
32214,1.0,1.0,1.0
95231,2.0,1.0,1.0
60082,1.0,1.0,1.0
89538,1.0,1.0,1.0
53277,1.0,1.0,2.0
74311,5.0,5.0,1.0
48556,1.0,1.0,1.0
15948,2.0,2.0,2.0
11690,3.0,3.0,3.0
54550,1.0,1.0,2.0
16086,1.0,1.0,1.0
79749,5.0,5.0,5.0
26537,1.0,1.0,1.0
29247,1.0,1.0,2.0
89294,5.0,5.0,1.0
31913,2.0,2.0,3.0
34270,1.0,1.0,1.0
85513,1.0,1.0,1.0
22866,1.0,2.0,2.0
13779,1.0,1.0,1.0
99659,1.0,1.0,1.0
3830,2.0,1.0,2.0
40472,1.0,1.0,1.0
36300,1.0,1.0,1.0
913,1.0,1.0,1.0
51360,5.0,5.0,1.0
100576,1.0,1.0,1.0
19039,2.0,1.0,2.0
87693,1.0,1.0,2.0
93909,1.0,1.0,1.0
32696,5.0,5.0,1.0
93328,1.0,1.0,1.0
68234,1.0,1.0,1.0
74236,1.0,1.0,1.0
7071,1.0,1.0,1.0
99266,1.0,2.0,1.0
79234,1.0,1.0,2.0
20241,3.0,2.0,3.0
67494,1.0,1.0,1.0
96715,1.0,1.0,1.0
